tenant_n,wd_event_date,submissions
a1group,2026-03-18,6
a1group,2026-04-16,5
aaamidatlantic,2026-04-16,1
aamc,2026-04-16,2
aampower,2026-04-16,1
abb,2026-03-18,3
abb,2026-04-16,3
abbott,2026-03-18,16
abbott,2026-04-16,13
accenture,2026-03-18,18
accenture,2026-04-16,17
acciona,2026-03-18,1
adec,2026-04-16,5
adient,2026-03-18,4
adient,2026-04-16,5
aeso,2026-03-18,3
ag,2026-03-18,14
ag,2026-04-16,12
agilent,2026-03-18,1
agilent,2026-04-16,2
agrana,2026-03-18,1
agreenspace,2026-04-16,1
aia,2026-03-18,5
aia,2026-04-16,8
aig,2026-03-18,1
aig,2026-04-16,1
airproducts,2026-03-18,2
alfalaval,2026-03-18,1
alfalaval,2026-04-16,5
alight,2026-03-18,2
allens,2026-03-18,2
allens,2026-04-16,2
alliance,2026-03-18,1
alliance,2026-04-16,1
alliancedata,2026-03-18,1
alliancedata,2026-04-16,1
allstate,2026-03-18,1
allstate,2026-04-16,5
altasciences,2026-04-16,1
altusgroup,2026-03-18,1
amadeus,2026-03-18,2
amadeus,2026-04-16,3
amgen,2026-03-18,4
amgen,2026-04-16,3
amn,2026-04-16,2
analogdevices,2026-03-18,3
analogdevices,2026-04-16,1
antares,2026-03-18,1
antaresunderwriting,2026-04-16,2
apa,2026-03-18,1
archgroup,2026-03-18,1
archgroup,2026-04-16,2
arcticwolf,2026-03-18,1
arcticwolf,2026-04-16,1
aresmgmt,2026-03-18,4
aresmgmt,2026-04-16,2
argenx,2026-04-16,1
arrow,2026-03-18,1
asml,2026-04-16,3
astrazeneca,2026-03-18,5
astrazeneca,2026-04-16,8
asx,2026-04-16,1
athene,2026-03-18,1
athene,2026-04-16,1
austalusa,2026-04-16,2
aviva,2026-04-16,2
awg,2026-03-18,3
awg,2026-04-16,5
axiscapital,2026-03-18,1
axiscapital,2026-04-16,1
axos,2026-03-18,3
axos,2026-04-16,1
ayvens,2026-03-18,9
ayvens,2026-04-16,3
aztecgroup,2026-03-18,2
aztecgroup,2026-04-16,1
baincapital,2026-03-18,1
baincapital,2026-04-16,1
baird,2026-03-18,2
bakerhughes,2026-03-18,1
bakerhughes,2026-04-16,1
ballardspahr,2026-04-16,3
barclays,2026-03-18,50
barclays,2026-04-16,34
barrywehmiller,2026-04-16,1
baxter,2026-04-16,1
bbinsurance,2026-03-18,3
bdoau,2026-03-18,1
bdoau,2026-04-16,1
bdouk,2026-03-18,4
bdouk,2026-04-16,14
bdx,2026-03-18,5
bdx,2026-04-16,7
beca,2026-03-18,3
beigene,2026-03-18,1
bishopfleming,2026-03-18,1
blackrock,2026-03-18,1
blackrock,2026-04-16,2
blackstone,2026-04-16,1
blattner,2026-04-16,1
bmo,2026-03-18,1
boeing,2026-03-18,1
bpinternational,2026-04-16,1
broadcom,2026-03-18,3
broadcom,2026-04-16,1
broadridge,2026-03-18,56
broadridge,2026-04-16,6
bronsonhg,2026-03-18,1
bronsonhg,2026-04-16,1
brookfield,2026-03-18,2
brookfield,2026-04-16,9
brooksauto,2026-04-16,1
bupa,2026-03-18,1
burnesspaull,2026-03-18,1
cabotcorp,2026-03-18,1
cai,2026-03-18,4
cai,2026-04-16,5
canarywharf,2026-03-18,1
canarywharf,2026-04-16,2
cancerresearchuk,2026-03-18,1
cancerresearchuk,2026-04-16,1
capita,2026-03-18,2
capita,2026-04-16,1
carrier,2026-03-18,1
catalent,2026-03-18,1
cba,2026-04-16,1
cc,2026-03-18,1
cc,2026-04-16,30
centrica,2026-03-18,3
cgm,2026-03-18,4
chamberlain,2026-03-18,12
chamberlain,2026-04-16,5
chevron,2026-03-18,1
chevron,2026-04-16,7
ciena,2026-04-16,3
circlek,2026-04-16,3
cisco,2026-03-18,1
citi,2026-04-16,4
citicclsa,2026-03-18,2
citicclsa,2026-04-16,2
cityofkent,2026-03-18,1
cityofkent,2026-04-16,4
claires,2026-03-18,1
clarionhg,2026-04-16,1
claytonutz,2026-03-18,1
claytonutz,2026-04-16,1
clydeco,2026-03-18,2
cmegroup,2026-03-18,1
cmno,2026-04-16,9
cnx,2026-03-18,12
cnx,2026-04-16,8
cognex,2026-03-18,3
coke,2026-03-18,5
collectorsuniverse,2026-03-18,2
collectorsuniverse,2026-04-16,1
comfortsystemsusa,2026-03-18,2
comfortsystemsusa,2026-04-16,2
conagrabrands,2026-03-18,1
confluentmedical,2026-04-16,1
conocophillips,2026-04-16,1
convatec,2026-03-18,1
convatec,2026-04-16,2
cooley,2026-03-18,2
cooley,2026-04-16,2
coorstek,2026-04-16,7
coverys,2026-04-16,1
covestro,2026-04-16,1
cox,2026-04-16,1
creationtech,2026-03-18,3
